Date,SONIA
03/23/2018,0.00468
03/22/2018,0.004634
03/21/2018,0.004667
03/20/2018,0.004636
03/19/2018,0.004633
03/16/2018,0.004644
03/15/2018,0.004659
03/14/2018,0.004637
03/13/2018,0.004637
03/12/2018,0.00465
03/09/2018,0.004627
03/08/2018,0.004645
03/07/2018,0.004648
03/06/2018,0.004647
03/05/2018,0.004643
03/02/2018,0.004655
03/01/2018,0.004646
02/28/2018,0.004612
02/27/2018,0.004656
02/26/2018,0.004639
02/23/2018,0.004668
02/22/2018,0.004637
02/21/2018,0.004629
02/20/2018,0.004636
02/19/2018,0.00462
02/16/2018,0.004637
02/15/2018,0.004642
02/14/2018,0.004651
02/13/2018,0.004636
02/12/2018,0.00463
02/09/2018,0.004634
02/08/2018,0.004624
02/07/2018,0.004618
02/06/2018,0.004626
02/05/2018,0.004619
02/02/2018,0.004632
02/01/2018,0.004636
01/31/2018,0.004668
01/30/2018,0.004627
01/29/2018,0.004613
01/26/2018,0.004633
01/25/2018,0.004618
01/24/2018,0.00462
01/23/2018,0.004619
01/22/2018,0.00463
01/19/2018,0.004634
01/18/2018,0.004619
01/17/2018,0.004615
01/16/2018,0.004605
01/15/2018,0.004638
01/12/2018,0.00468
01/11/2018,0.004655
01/10/2018,0.004647
01/09/2018,0.004627
01/08/2018,0.004632
01/05/2018,0.004625
01/04/2018,0.004618
01/03/2018,0.004642
01/02/2018,0.004622
12/29/2017,0.004123
12/28/2017,0.004665
12/27/2017,0.00466
12/22/2017,0.004647
12/21/2017,0.004643
12/20/2017,0.004684
12/19/2017,0.00469
12/18/2017,0.004659
12/15/2017,0.004637
12/14/2017,0.004624
12/13/2017,0.004627
12/12/2017,0.004612
12/11/2017,0.004623
12/08/2017,0.004629
12/07/2017,0.004664
12/06/2017,0.004594
12/05/2017,0.004655
12/04/2017,0.004667
12/01/2017,0.004661
11/30/2017,0.004623
11/29/2017,0.004663
11/28/2017,0.004634
11/27/2017,0.004618
11/24/2017,0.004635
11/23/2017,0.004624
11/22/2017,0.004622
11/21/2017,0.004617
11/20/2017,0.004623
11/17/2017,0.004638
11/16/2017,0.004622
11/15/2017,0.004632
11/14/2017,0.004644
11/13/2017,0.004662
11/10/2017,0.004622
11/09/2017,0.004628
11/08/2017,0.004632
11/07/2017,0.004624
11/06/2017,0.004649
11/03/2017,0.004628
11/02/2017,0.004055
11/01/2017,0.002145
10/31/2017,0.002096
10/30/2017,0.00216
10/27/2017,0.002131
10/26/2017,0.00214
10/25/2017,0.002147
10/24/2017,0.002126
10/23/2017,0.002131
10/20/2017,0.002141
10/19/2017,0.002141
10/18/2017,0.002128
10/17/2017,0.002118
10/16/2017,0.002093
10/13/2017,0.002082
10/12/2017,0.002072
10/11/2017,0.002086
10/10/2017,0.002065
10/09/2017,0.002099
10/06/2017,0.002078
10/05/2017,0.002093
10/04/2017,0.002085
10/03/2017,0.002094
10/02/2017,0.002108
09/29/2017,0.001991
09/28/2017,0.002101
09/27/2017,0.002094
09/26/2017,0.002097
09/25/2017,0.002106
09/22/2017,0.002113
09/21/2017,0.002145
09/20/2017,0.002172
09/19/2017,0.002152
09/18/2017,0.002151
09/15/2017,0.002169
09/14/2017,0.002148
09/13/2017,0.002148
09/12/2017,0.002146
09/11/2017,0.002132
09/08/2017,0.002144
09/07/2017,0.002108
09/06/2017,0.002112
09/05/2017,0.002118
09/04/2017,0.002122
09/01/2017,0.002123
08/31/2017,0.002109
